vid,from,WKT,cost_before,cost_remain,visit_number
3812514733,6936046216,"LINESTRING(8559314.812735694 5341798.486580552,8559203.554394523 5341831.1063012)",135,8723,1
4280931090,2315284589,"LINESTRING(8559970.472578319 5341638.884593593,8559942.445667947 5341659.271556422)",1381,8016,112
2554593526,2180514951,"LINESTRING(8560965.852546655 5342816.1591574205,8561030.39937054 5342683.336967614)",2885,6596,162
3812514741,5061880844,"LINESTRING(8559014.16042444 5342083.330496344,8558988.68141501 5342076.922868759)",581,9068,374
3812220409,3812220398,"LINESTRING(8559240.923608351 5341533.4555832865,8559229.033403952 5341488.604929513)",812,8496,82
2430365619,4252366106,"LINESTRING(8563861.966618348 5345478.245226118,8563974.923560146 5345516.122370891)",6957,2633,329
6562727732,2184621942,"LINESTRING(8562109.010769675 5343851.4215596225,8561940.849307448 5343835.690769292)",4683,5006,399
5229452511,5204089176,"LINESTRING(8563535.835297665 5345384.427115422,8563563.862208037 5345409.484033861)",6688,2932,350
2958244724,4271849759,"LINESTRING(8560506.381076628 5342304.687609244,8560599.8041112 5342398.474708924)",2166,7462,363
2554593437,2554593452,"LINESTRING(8561296.230368908 5342608.7709541,8561296.230368908 5342596.537524493)",3087,6636,426
5204082568,9620064965,"LINESTRING(8562465.716901671 5344132.249768062,8562426.649087215 5344093.212975215)",4948,4574,208
4291263235,4291263236,"LINESTRING(8560167.510251231 5341788.0016945945,8560152.222845573 5341772.27438778)",1490,7930,124
3812515761,3812515759,"LINESTRING(8559029.447830096 5341915.568608516,8558913.942987354 5341885.861089002)",551,9021,326
6485333445,2180514951,"LINESTRING(8560965.852546655 5342816.1591574205,8560948.017240055 5342872.667417588)",2796,6800,334
290894373,2567616746,"LINESTRING(8560006.143191518 5341938.868690094,8560009.540392775 5342026.8270231765)",1525,7900,127
2493653542,2458680466,"LINESTRING(8559270.649119351 5341657.524100718,8559455.796587864 5341651.699250736)",656,8528,24
6485288966,2184622030,"LINESTRING(8561918.767499276 5343485.541905113,8561870.357381362 5343524.576151658)",4136,5400,291
3818844169,4428058064,"LINESTRING(8559060.871941725 5341593.450951177,8558974.243309667 5341532.87310588)",884,8785,385
4252366129,4837055058,"LINESTRING(8564012.292773975 5345550.503297203,8564047.11408686 5345614.603668201)",7100,2592,402
2460993530,5204125614,"LINESTRING(8563612.27232595 5345171.154677819,8563842.43271112 5345385.009833691)",6741,2781,223
3315266503,5176153389,"LINESTRING(8563797.419794463 5345404.82227649,8563836.487608919 5345456.101735908)",6806,2716,252
2554593352,2554593374,"LINESTRING(8561245.272350052 5342541.778560256,8561219.793340625 5342524.302362819)",3205,6518,430
4348167006,4291263245,"LINESTRING(8560128.442436773 5341875.37610473,8560373.890227601 5342121.776354384)",1765,7435,46
260707502,9620085184,"LINESTRING(8559847.324032748 5342039.642213851,8559847.324032748 5342032.6521076625)",1363,8062,132
3811153339,3811153329,"LINESTRING(8559155.14427661 5341804.894016667,8559360.674952665 5341694.803226825)",464,8394,3
4291263245,4291263244,"LINESTRING(8560121.64803426 5341867.221125118,8560128.442436773 5341875.37610473)",1416,7784,45
9620064965,2486920179,"LINESTRING(8562470.812703557 5344127.588649868,8562465.716901671 5344132.249768062)",4893,4629,205
4611274938,4611262683,"LINESTRING(8562464.867601357 5344254.604954813,8562478.456406387 5344307.043383971)",5150,4537,398
2429960992,2429960989,"LINESTRING(8563991.060266118 5345678.704480361,8564031.826681204 5345723.575311372)",7243,2436,395
