vid,from,WKT,cost_before,cost_remain,visit_number
5137406562,7735759651,"LINESTRING(8566076.94183799 5351676.99632364,8565992.01180656 5351667.666532803)",2805,18940,1343
2281409149,2281407760,"LINESTRING(8567608.230304636 5355789.429182376,8567634.558614379 5355867.017716051)",5440,16859,3178
1185685762,297407960,"LINESTRING(8568631.637183342 5355401.496220883,8568697.033307543 5355531.583215619)",4638,17877,4001
260540413,260540451,"LINESTRING(8565206.409015853 5354991.413251119,8565208.10761648 5355203.744139443)",7154,15653,5385
5539369183,2315735105,"LINESTRING(8568073.64687686 5352775.061410817,8568111.016090691 5352865.454908937)",1975,19323,326
2281409210,2281409066,"LINESTRING(8566768.272293814 5353954.911423348,8566752.135587841 5354098.976518017)",4223,17498,1288
297454572,297454573,"LINESTRING(8568443.941813888 5355341.99515248,8568508.488637773 5355468.581215217)",4582,17776,3370
6467393244,292257603,"LINESTRING(8567657.489722865 5352437.40572247,8567612.476806208 5352433.90676393)",1956,19320,292
5339170982,5148844180,"LINESTRING(8565185.176507996 5350842.6001404505,8565184.32720768 5350850.179922841)",3723,19181,5866
2280852547,2280852359,"LINESTRING(8563960.485454803 5357369.912780184,8563942.650148205 5357362.911153196)",9652,13192,5571
292253983,299253634,"LINESTRING(8566713.067773385 5357944.6476367125,8566791.2034023 5358201.976987423)",8347,14711,6541
2889282709,8666327160,"LINESTRING(8564081.935399747 5357448.681447001,8564087.031201633 5357426.509458508)",9729,13241,6160
2279349510,260540483,"LINESTRING(8563807.611398233 5353825.42971939,8563833.939707976 5353858.091600902)",7128,15917,6482
2912715504,2912715502,"LINESTRING(8564217.82345003 5351979.636486279,8564213.57694846 5352019.289491126)",5049,17678,4968
2281408569,2281408802,"LINESTRING(8567625.21631092 5354751.0885319235,8567592.093598664 5354781.420435712)",4228,17577,1580
299386906,299386904,"LINESTRING(8569637.20875545 5352680.003389033,8569614.277646964 5352784.392311917)",1856,20419,3117
2281407702,2281407725,"LINESTRING(8567590.394998036 5355271.411045236,8567645.599518465 5355489.581834608)",5074,17123,2885
6573887465,6485133938,"LINESTRING(8566061.654432332 5350837.35260241,8566047.21632699 5350836.186483248)",2890,19658,4138
5344050709,5344050707,"LINESTRING(8566723.259377157 5350957.463658657,8566649.370249815 5350952.216055859)",2219,19903,2689
260542006,260542029,"LINESTRING(8567158.950438382 5351254.249565559,8566976.350870812 5351239.672433618)",1930,19862,1528
6583566178,6583566175,"LINESTRING(8564889.619998626 5353002.504790623,8564825.922475055 5352996.672839645)",5267,17184,3691
5472928879,2187811769,"LINESTRING(8566266.335808074 5351439.089578741,8566196.693182303 5351435.007898436)",2532,19248,1470
6485133944,9620197034,"LINESTRING(8565892.643669792 5350723.07361886,8565883.301366335 5350722.490566419)",3163,19663,5490
299446334,299446341,"LINESTRING(8566729.204479355 5357651.732642325,8566810.737309527 5357914.305416129)",8132,14904,6449
4320683638,2195100003,"LINESTRING(8568140.741601689 5356822.634833338,8568133.09789886 5356826.135442818)",6469,16616,6659
9620197035,9620197036,"LINESTRING(8565873.109762562 5350555.739067182,8565875.657663506 5350537.664783425)",3319,19814,6835
2281408262,2281409240,"LINESTRING(8566736.848182185 5354242.460570398,8566713.917073699 5354460.023944303)",4586,17203,1515
3821145040,6467393276,"LINESTRING(8567268.510178924 5352186.0672141295,8567262.565076724 5352261.876258086)",2038,19230,288
2186319278,295840884,"LINESTRING(8566289.26691656 5353186.796324198,8566273.979510901 5353278.360247142)",4001,17818,1624
3914845127,2321236834,"LINESTRING(8567731.378850207 5351557.459086269,8567682.968732292 5351561.540820276)",957,20039,78
259999340,674109289,"LINESTRING(8565346.54356771 5352231.552566398,8565328.708261108 5352419.32778417)",4201,17944,2751
6573887452,6573887454,"LINESTRING(8565979.272301849 5350891.577304817,8565938.505886763 5350888.078927387)",2934,19555,3896
2281407980,619162136,"LINESTRING(8568066.003174033 5355277.827760126,8568037.126963347 5355277.827760126)",4582,17554,2730
299386896,299386903,"LINESTRING(8569833.397128047 5352532.4612661665,8569814.712521134 5352597.776067566)",1770,20693,3769
3204633566,3204632818,"LINESTRING(8563721.832066491 5353193.7948088,8563632.655533493 5353504.066249012)",7007,16108,6775
241928116,1373488767,"LINESTRING(8564977.947231311 5356740.370889817,8564971.152828796 5356746.2051880825)",8348,14341,4779
2318283718,2318283820,"LINESTRING(8568776.018236771 5352906.278066875,8568879.632875113 5352906.278066875)",1720,19817,770
295855290,295855291,"LINESTRING(8567423.082836123 5353154.136798986,8567401.850328267 5353295.273427033)",2915,18530,586
