node1,node2,WKT,category,lanes
243992530,6938753529,"LINESTRING(76.9698486328125 44.01176452636719,76.9804458618164 43.99845886230469,76.98724365234375 43.989723205566406,76.9964370727539 43.977989196777344,76.99813842773438 43.976158142089844,76.99942779541016 43.97494125366211,77.00088500976563 43.973731994628906,77.0030517578125 43.97196960449219,77.00495147705078 43.97050476074219,77.00804138183594 43.96791076660156,77.01355743408203 43.963462829589844,77.01596069335938 43.96158981323242,77.01822662353516 43.95968246459961,77.0196533203125 43.95841598510742,77.02015686035156 43.95783996582031,77.02099609375 43.95683670043945,77.02190399169922 43.95560073852539,77.02213287353516 43.955291748046875,77.02310180664063 43.9538688659668,77.02754974365234 43.946983337402344,77.0317611694336 43.94045639038086,77.0323257446289 43.93958282470703,77.03475189208984 43.935813903808594,77.04019927978516 43.9273567199707,77.04283905029297 43.92325973510742,77.04375457763672 43.921836853027344,77.04440307617188 43.9208984375,77.0448989868164 43.920230865478516,77.04539489746094 43.91967010498047)",tertiary,1
6938753529,6938753885,"LINESTRING(77.04539489746094 43.91967010498047,77.04544830322266 43.91960144042969,77.04582214355469 43.91923141479492)",tertiary,1
6938753885,6938731456,"LINESTRING(77.04582214355469 43.91923141479492,77.04605865478516 43.91899108886719,77.04785919189453 43.917354583740234,77.04906463623047 43.916439056396484,77.05016326904297 43.915740966796875,77.05152130126953 43.914920806884766,77.05281066894531 43.914215087890625,77.05403137207031 43.913665771484375,77.05614471435547 43.91281509399414,77.05643463134766 43.9127082824707)",tertiary,1
6938731456,6931013665,"LINESTRING(77.05643463134766 43.9127082824707,77.05899047851563 43.91180419921875)",tertiary,1
6931013665,6870843361,"LINESTRING(77.05899047851563 43.91180419921875,77.06279754638672 43.91048812866211)",tertiary,1
6870843361,6870874352,"LINESTRING(77.06279754638672 43.91048812866211,77.06739807128906 43.90882873535156)",tertiary,1
6870874352,6870887590,"LINESTRING(77.06739807128906 43.90882873535156,77.0676040649414 43.908756256103516)",tertiary,1
6870887590,6870770824,"LINESTRING(77.0676040649414 43.908756256103516,77.06867218017578 43.90837860107422)",tertiary,1
6870770824,1906028359,"LINESTRING(77.06867218017578 43.90837860107422,77.06925964355469 43.90816879272461)",tertiary,1
1906028359,1906028353,"LINESTRING(77.06925964355469 43.90816879272461,77.06987762451172 43.90793991088867)",tertiary,1
1906028353,1906028477,"LINESTRING(77.06987762451172 43.90793991088867,77.07046508789063 43.907718658447266)",tertiary,1
1906028477,1906028402,"LINESTRING(77.07046508789063 43.907718658447266,77.07112121582031 43.907474517822266)",tertiary,1
1906028402,253896347,"LINESTRING(77.07112121582031 43.907474517822266,77.07174682617188 43.9072380065918)",tertiary,1
253896347,1906028524,"LINESTRING(77.07174682617188 43.9072380065918,77.07232666015625 43.906978607177734)",tertiary,1
1906028524,5210233752,"LINESTRING(77.07232666015625 43.906978607177734,77.07246398925781 43.906917572021484)",tertiary,1
5210233752,1906028530,"LINESTRING(77.07246398925781 43.906917572021484,77.07289123535156 43.90672302246094)",tertiary,1
1906028530,1902136078,"LINESTRING(77.07289123535156 43.90672302246094,77.07343292236328 43.90646743774414)",tertiary,1
1902136078,1902136038,"LINESTRING(77.07343292236328 43.90646743774414,77.07401275634766 43.906166076660156)",tertiary,1
1902136038,1902136046,"LINESTRING(77.07401275634766 43.906166076660156,77.0745849609375 43.9058952331543)",tertiary,1
1902136046,6870837559,"LINESTRING(77.0745849609375 43.9058952331543,77.07518768310547 43.90560531616211)",tertiary,1
6870837559,1906028395,"LINESTRING(77.07518768310547 43.90560531616211,77.07524108886719 43.905582427978516)",tertiary,1
1906028395,1906028363,"LINESTRING(77.07524108886719 43.905582427978516,77.07565307617188 43.905311584472656)",tertiary,1
1906028363,1906028403,"LINESTRING(77.07565307617188 43.905311584472656,77.07640075683594 43.904884338378906)",tertiary,1
1906028403,2073803288,"LINESTRING(77.07640075683594 43.904884338378906,77.0774917602539 43.904151916503906)",tertiary,1
2073803288,2073803039,"LINESTRING(77.0774917602539 43.904151916503906,77.07762908935547 43.904056549072266,77.07781219482422 43.9039306640625)",tertiary,1
2073803039,2073803085,"LINESTRING(77.07781219482422 43.9039306640625,77.07826232910156 43.90361404418945)",tertiary,1
2073803085,2073803311,"LINESTRING(77.07826232910156 43.90361404418945,77.07881927490234 43.90321731567383)",tertiary,1
2073803311,243992546,"LINESTRING(77.07881927490234 43.90321731567383,77.07913208007813 43.90299987792969)",tertiary,1
